PERMIT#,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,WORK_DESCRIPTION,CONTACT_1_TYPE,CONTACT_1_NAME,CONTACT_2_TYPE,CONTACT_2_NAME,CONTACT_3_TYPE,CONTACT_3_NAME,full_address,is_city_initiated
100102760,7247,N,CLAREMONT AVE,,CONTRACTOR-WRECKING,MMT DEMOLITION,OWNER,ROMEO'S CONSTRUCTION,,,7247 N CLAREMONT AVE,False
100105310,2526,W,MAYPOLE AVE,,CONTRACTOR-WRECKING,DELTA DEMOLITION INC,OWNER,CITY OF CHICAGO,,,2526 W MAYPOLE AVE,True
100108926,2019,N,WHIPPLE ST,2 STORY FRAME BUILDING,CONTRACTOR-WRECKING,"IUS, INC.",OWNER,WDIM 2019 INC,,,2019 N WHIPPLE ST,False
100141466,2704,S,WALLACE ST,WRECK AND REMOVE A 1 STORY FRAME RESIDENCE,CONTRACTOR-WRECKING,"BRIDGES EXCAVATING, INC.",OWNER,MARKHAN CONSTRUCTION,,,2704 S WALLACE ST,False
100161912,8153,S,GREEN ST,WRECK AND REMOVE A GARAGE ONLY.,CONTRACTOR-WRECKING,M & R DEMOLITION,OWNER,YVETTE GOODRICH,,,8153 S GREEN ST,False
100180040,530,E,38TH PL,DEMOLITION OF A 3 STORY BRICK CHA BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CHA,,,530 E 38TH PL,False
100181227,1912,S,HALSTED ST,WRECK AND REMOVE A 1 STORY BRICK BUILDING WITH ADDRESS RANGE OF 1912 - 1914 S. HALSTED.,CONTRACTOR-WRECKING,MMT DEMOLITION,OWNER,DEVELOPING ENVIRONMENT LP,,,1912 S HALSTED ST,False
100076396,10959,S,KEDZIE AVE,,CONTRACTOR-WRECKING,WICKLOW TOP SOIL,OWNER,PETE TOUSSAINT DDS,,,10959 S KEDZIE AVE,False
100077439,1456,N,WIELAND ST,,CONTRACTOR-WRECKING,PAIGE ENTERPRISES,OWNER,GREG BOLT,,,1456 N WIELAND ST,False
100222453,1369,W,CHICAGO AVE,DEMOLITION AND REMOVAL OFDEBRIS FOR A 1 STORY FRAME GARAGE.,CONTRACTOR-WRECKING,MMT DEMOLITION.INC,OWNER,JUAN MESA,,,1369 W CHICAGO AVE,False
100078420,1722,N,RICHMOND ST,,CONTRACTOR-WRECKING,APEX EXCAVATING,OWNER,WILMONT PROPERTIES,,,1722 N RICHMOND ST,False
100078458,1913,W,BARRY AVE,,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,G.T. BUILDERS,,,1913 W BARRY AVE,False
100081593,2027,W,MCLEAN AVE,,CONTRACTOR-WRECKING,"HARLEM EXCAVATING, LIMITED",OWNER,JEREMY KULAK,,,2027 W MCLEAN AVE,False
100078801,2428,W,AUGUSTA BLVD,,CONTRACTOR-WRECKING,DEMOX,OWNER,TARAS FEDUNKIV,,,2428 W AUGUSTA BLVD,False
100248522,1830,W,BELMONT AVE,WRECK AND REMOVE A SINGLE FAMILY STORY FRAME\BRICK RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,CONTEX CORPORATION,OWNER,MARVIN'S AUTO SERVICE,,,1830 W BELMONT AVE,False
100081630,5500,S,ARCHER AVE,,CONTRACTOR-WRECKING,MMT DEMOLITION,OWNER,MILLENIUM INVESTMENT,,,5500 S ARCHER AVE,False
100262610,1028,W,CULLERTON ST,DEMOLITION OF  FRAME TWO STORY BUILDING.,CONTRACTOR-WRECKING,BMC BUILDERS INC,OWNER,JULIO HERNANDEZ,,,1028 W CULLERTON ST,False
100264223,3316,S,THROOP ST,WRECK AND REMOVE A 1 STORY FRAME,CONTRACTOR-WRECKING,A W E C INCORPORATED,OWNER,J & L TREE SERVICES,,,3316 S THROOP ST,False
100267702,4847,N,ASHLAND AVE,WRECK AND REMOVE 2 STORY FRAME BUILDING,CONTRACTOR-GENERAL CONTRACTOR,MEGALAN CORPORATION,OWNER,ULTIMATE HOMES LLC,,,4847 N ASHLAND AVE,False
